brand,product_name,price,original_price,image_url
RIO BASIC,Women Relaxed Fit Shorts,200,499,https://assets.ajio.com/medias/sys_master/root/20240821/UUdx/66c5f2ed1d763220fa8bc3f1/rio_basic_blue_women_relaxed_fit_shorts.jpg
Kryptic,Women High-Rise Shorts with Elasticated Waist,250,999,https://assets.ajio.com/medias/sys_master/root/20240521/1YBU/664bd2d705ac7d77bb687e2f/kryptic_black_women_high-rise_shorts_with_elasticated_waist.jpg
PXS,Women City Shorts with Elasticated Waist,300,999,https://assets.ajio.com/medias/sys_master/root/20250519/hSBS/682b41ec7a6cd4182f3c3324/pxs_maroon_women_city_shorts_with_elasticated_waist.jpg
NIKE,Women One DF High-Rise Shorts,2258,2895,https://assets.ajio.com/medias/sys_master/root/20250515/4vKY/68258ea455340d4b4f35dfb3/nike_black_women_one_df_high-rise_shorts.jpg
PERFORMAX,Women Training Shorts,419,599,https://assets.ajio.com/medias/sys_master/root/20250505/sDNb/6818a31f55340d4b4f13f822/performax_jet_black_women_training_shorts.jpg
MAX,Women Printed Sports Shorts,499,499,https://assets.ajio.com/medias/sys_master/root/20250317/2bKC/67d852bb2960820c49f6012a/max_black_women_printed_sports_shorts.jpg
Kryptic,Women Knit Shorts with Elasticated Waist,250,999,https://via.placeholder.com/150?text=No+Image
RIO BASIC,Women Shorts with Slip Pockets,280,699,https://via.placeholder.com/150?text=No+Image
Honey by Pantaloons,Women Mid-Rise Denim Shorts,674,899,https://via.placeholder.com/150?text=No+Image
NIKE,Women As Swift Dri-Fit 2 in 1 Running Shorts,2438,3295,https://via.placeholder.com/150?text=No+Image
RIO BASIC,Women Relaxed Fit Shorts,300,599,https://via.placeholder.com/150?text=No+Image
Honey by Pantaloons,Women High Rise Shorts,674,899,https://via.placeholder.com/150?text=No+Image
SOUTH CITY,women Elasticated Waist Shorts with Insert Pockets,300,1999,https://via.placeholder.com/150?text=No+Image
RIO BASIC,Women Mid-Rise Slim Fit Underskirt Shorts,199,199,https://via.placeholder.com/150?text=No+Image
Ajile by Pantaloons,Women City Shorts with Insert Pockets,599,799,https://via.placeholder.com/150?text=No+Image
PERFORMAX,Women Training Shorts,419,599,https://via.placeholder.com/150?text=No+Image
MAX,Geometric Print Shorts with Drawstring Waist,309,349,https://via.placeholder.com/150?text=No+Image
Honey by Pantaloons,Women Mid-Rise Flat-Front City Shorts,766,1299,https://via.placeholder.com/150?text=No+Image
MAX,Women Mid Rise Shorts,399,399,https://via.placeholder.com/150?text=No+Image
Shein,Shein Activewear Mini Length Hot Pants with Contrast Piping,299,299,https://via.placeholder.com/150?text=No+Image
Honey by Pantaloons,Women High-Rise Pleat-Front City Shorts,974,1299,https://via.placeholder.com/150?text=No+Image
NIKE,Women One DF High-Rise Shorts,2258,2895,https://via.placeholder.com/150?text=No+Image
PERFORMAX,Women Ribbed Training Shorts,559,699,https://via.placeholder.com/150?text=No+Image
People by Pantaloons,Women Denim Shorts with Slip Pockets,844,1299,https://via.placeholder.com/150?text=No+Image
CHOW CHOW,Women Shorts with Elasticated Waist,390,1299,https://via.placeholder.com/150?text=No+Image
RIO BASIC,Women Shorts with Slip Pockets,280,699,https://via.placeholder.com/150?text=No+Image
Ajile by Pantaloons,Women City Shorts with Insert Pockets,524,699,https://via.placeholder.com/150?text=No+Image
PERFORMAX,Women Side Striped Regular Fit Shorts,489,699,https://via.placeholder.com/150?text=No+Image
Kryptic,Women Cotton Shorts with Drawstring Closure,279,899,https://via.placeholder.com/150?text=No+Image
Ajile by Pantaloons,Women City Shorts with Insert Pockets,424,499,https://via.placeholder.com/150?text=No+Image
BODYCARE,Pack of 3 Elasticated Waist Knit Shorts,510,510,https://via.placeholder.com/150?text=No+Image
LAABHA,Hot Pants with Drawstring Waist,297,849,https://via.placeholder.com/150?text=No+Image
Dolce Crudo,Women Lightly Washed Denim Shorts,907,1745,https://via.placeholder.com/150?text=No+Image
SOUTH CITY,women Elasticated Waist Shorts with Insert Pockets,300,1999,https://via.placeholder.com/150?text=No+Image
NIKE,"Women Sculpt Dri-Fit 3"" High-Rise Shorts",1471,2195,https://via.placeholder.com/150?text=No+Image
Dolce Crudo,Women High-Rise Denim Shorts with Fringes,938,1995,https://via.placeholder.com/150?text=No+Image
GAP,Women High-Rise Pleated Linen Shorts,1250,2499,https://via.placeholder.com/150?text=No+Image
Teamspirit,Women Typographic Print Regular Fit Shorts with Insert Pockets,499,499,https://via.placeholder.com/150?text=No+Image
Dolce Crudo,Women Light Weight Lightly Washed Denim Shorts,660,1999,https://via.placeholder.com/150?text=No+Image
MAX,Women Cotton Mid Rise Printed Shorts,399,399,https://via.placeholder.com/150?text=No+Image
PERFORMAX,Women Training Shorts,489,699,https://via.placeholder.com/150?text=No+Image
Dolce Crudo,Women High Rise Shorts,819,2825,https://via.placeholder.com/150?text=No+Image
Shein,Shein Activewear Mini Length Hot Pants With Contrast Piping,299,299,https://via.placeholder.com/150?text=No+Image
PXS,Women Mid Rise City Shorts,300,999,https://via.placeholder.com/150?text=No+Image
Dolce Crudo,Women High-Rise Denim Shorts,937,1995,https://via.placeholder.com/150?text=No+Image
PERFORMAX,Women Active Shorts,699,699,https://via.placeholder.com/150?text=No+Image
Shein,Shein Activewear Mini Length Front Typographic Placement Print Teal Shorts,349,349,https://via.placeholder.com/150?text=No+Image
Honey by Pantaloons,Women High-Rise Pleat-Front City Shorts,974,1299,https://via.placeholder.com/150?text=No+Image
Popnetic,Solid Cargo Shorts,455,1299,https://via.placeholder.com/150?text=No+Image
COLOR CAPITAL,Women Knit Shorts with Elasticated Waist,352,799,https://via.placeholder.com/150?text=No+Image
H&M,Women High Rise Denim Shorts,1499,1499,https://via.placeholder.com/150?text=No+Image
Leading Lady,Solid Shorts,319,798,https://via.placeholder.com/150?text=No+Image
Draax Fashions,Women Pleated Hot Pants with Drawstring Waist,427,2134,https://via.placeholder.com/150?text=No+Image
Sendipo,Women Lightly Washed Denim Shorts,450,999,https://via.placeholder.com/150?text=No+Image
Jockey,RX87 Relaxed Fit Cotton Sleep Shorts with Side Pockets,599,599,https://via.placeholder.com/150?text=No+Image
GAP,High-Rise Denim Shorts,1500,2999,https://via.placeholder.com/150?text=No+Image
Yuniqee,Women Shorts with Elasticated Drawstring Waist,1386,4949,https://via.placeholder.com/150?text=No+Image
MAX,Women Mid Rise City Shorts,399,399,https://via.placeholder.com/150?text=No+Image
COLOR CAPITAL,Women Knit Shorts with Elasticated Waist,352,799,https://via.placeholder.com/150?text=No+Image
H&M,Women High Denim Shorts,1499,1499,https://via.placeholder.com/150?text=No+Image
KAPPA,Women Bermudas with Drawstring,567,799,https://via.placeholder.com/150?text=No+Image
